product,review
"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Nothing special but decent
"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Okay for occasional use
"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Meets expectations
"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Okay for occasional use
"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Wheels broke after few uses
"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Not satisfied with the build quality
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral","Perfect for travel, loved it"
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Not satisfied with the build quality
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral","Worth the price, highly recommended"
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Okay for occasional use
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Wheels broke after few uses
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",Smooth wheels and stylish design
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",Too expensive for the quality
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black","Worth the price, highly recommended"
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",Very spacious and sturdy
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",Wheels broke after few uses
"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",Fine for short trips
